t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 4	0.3	pos	0.50237265	0.49493836	0.51034987	3.75915816	3.66707975	3.84718673	3.76539385	3.64922674	3.86880959	0.9820168	0.9755503	0.9906270	1.1829761	1.1706402	1.1963731
 4	0.6	neg	0.18499646	0.18209521	0.18744851	0.16096099	0.15795355	0.16357306	0.16128429	0.15829213	0.16377275	0.9669087	0.9588296	0.9749105	0.9682208	0.9577670	0.9788968
 4	0.6	pos	0.18636672	0.18322937	0.18924671	5.83225138	5.74462628	5.91061041	5.83227614	5.75247401	5.91569402	0.9651000	0.9542832	0.9764727	1.4306822	1.4201325	1.4445240
 4	0.9	neg	0.06942512	0.06812703	0.07072599	0.05110206	0.04976553	0.05236539	0.05115353	0.05001678	0.05232651	0.9533371	0.9409061	0.9624918	0.9520184	0.9436042	0.9622811
 4	0.9	pos	0.06816696	0.06671727	0.06972336	6.94904010	6.88725286	7.00673983	6.95381852	6.88714970	7.01859178	0.9410433	0.9314723	0.9490568	1.8665769	1.8514645	1.8775935
 5	0.0	neg	0.96002222	0.94225768	0.97624907	0.96029386	0.93952787	0.98297949	0.96030338	0.94225180	0.98007011	0.9959438	0.9854414	1.0083396	0.9978486	0.9847726	1.0098676
 5	0.0	pos	0.94470959	0.93135797	0.95735667	1.19495954	1.17685126	1.21830569	1.19418923	1.17127541	1.21652347	0.9839246	0.9754976	0.9930201	1.0214763	1.0129911	1.0283013
 5	0.3	neg	0.68595605	0.67645918	0.69586225	0.67525971	0.66783666	0.68407782	0.67465569	0.66599591	0.68337612	0.9882988	0.9797623	0.9959624	0.9892716	0.9814391	0.9980369
 5	0.3	pos	0.70577318	0.69251106	0.72224324	2.79900366	2.71379005	2.89055921	2.80940530	2.72132691	2.88863546	0.9917042	0.9791939	1.0039856	1.1311283	1.1165539	1.1426891
 5	0.6	neg	0.25302706	0.24918964	0.25762574	0.22770711	0.22424715	0.23178307	0.22770321	0.22472970	0.23184219	0.9847917	0.9741508	0.9958861	0.9840880	0.9761082	0.9938539
