t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 6	0.6	pos	0.26390261	0.25659590	0.27195619	5.29852818	5.22039086	5.38473030	5.29679806	5.18684056	5.37399623	0.9545850	0.9397063	0.9724176	1.3943338	1.3849823	1.4043233
 6	0.9	neg	0.16848184	0.16543134	0.17275455	0.07460801	0.07293357	0.07654564	0.07462335	0.07289338	0.07616237	0.9380583	0.9297304	0.9476197	0.9380284	0.9286716	0.9463991
 6	0.9	pos	0.16473808	0.16172547	0.16750988	5.98652046	5.92775669	6.06051730	5.99169401	5.93173427	6.05792858	0.9356167	0.9246308	0.9464806	1.6210191	1.6069802	1.6380897
 7	0.0	neg	0.52349836	0.51491101	0.53144022	0.45372976	0.44611215	0.46113446	0.45376084	0.44690791	0.46064082	0.9645512	0.9573374	0.9716255	0.9643783	0.9559361	0.9721551
 7	0.0	pos	0.52882674	0.51657094	0.54017658	3.56962898	3.50167564	3.65240291	3.56043211	3.45886022	3.64244803	0.9613224	0.9491543	0.9745910	1.1546804	1.1450803	1.1645665
 7	0.3	neg	0.39308486	0.38874940	0.39632407	0.30481684	0.30096210	0.30833072	0.30467818	0.30124200	0.30795708	0.9600830	0.9555899	0.9639968	0.9602451	0.9566050	0.9641947
 7	0.3	pos	0.39958880	0.39467437	0.40417059	4.55093154	4.46780235	4.61934871	4.54950602	4.48533090	4.61058982	0.9626395	0.9567060	0.9670837	1.2483919	1.2423734	1.2549800
 7	0.6	neg	0.25443120	0.24889074	0.25910829	0.16463273	0.16144380	0.16794818	0.16465622	0.16160617	0.16751258	0.9602011	0.9473193	0.9738321	0.9605901	0.9477643	0.9716276
 7	0.6	pos	0.24744521	0.24466675	0.25046561	5.34160114	5.19314565	5.46370347	5.33787165	5.21396287	5.48144505	0.9408085	0.9346346	0.9478256	1.3714168	1.3601517	1.3854045
 7	0.9	neg	0.14466492	0.14267113	0.14716213	0.06972074	0.06815891	0.07122760	0.06952243	0.06788708	0.07162932	0.9326293	0.9243832	0.9435698	0.9327001	0.9228136	0.9430084
 7	0.9	pos	0.14300409	0.13938009	0.14641873	6.14420968	6.04440336	6.24127042	6.13858850	6.04051329	6.24329822	0.9356730	0.9214988	0.9458073	1.6557950	1.6483560	1.6634836
 8	0.0	neg	0.56345040	0.55384112	0.57449357	0.50631742	0.49861536	0.51537725	0.50629977	0.49616281	0.51549834	0.9785972	0.9680094	0.9888556	0.9802927	0.9684323	0.9920277
