t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
12	0	zero	0.87289076	0.84682621	0.89208595	0.65750051	0.64529326	0.6699342	0.998988723074371	0.935969986008774	0.0556911710182447	0.00718843365027825	0.000139132397073739	0.67653288	0.66706398	0.68666382	0.89209781	0.85894761	0.91539105	0.88960156	0.86500454	0.9121436	0.9838323	0.9721178	0.9945664	0.9950838	0.9824165	1.007844
12	0.9	neg	0.05119855	0.05046381	0.05204068	0.08074686	0.07991644	0.08157085	0.951013165	0.935969428	0.055689527	0.040673436	-0.081319226	0.1037792	0.10275679	0.10478839	0.06616582	0.06515516	0.06722168	0.06619494	0.06526457	0.06703113	0.9479864	0.9397655	0.9569106	0.9472899	0.9399805	0.9537482
12	0.9	pos	5.72285339	5.64869814	5.8107862	0.0794458	0.0782753	0.0809082	1.715481494	0.935969428	0.055689527	0.040673436	0.683149103	0.10209086	0.10018312	0.10430738	6.59037121	6.49886229	6.69734511	6.57716909	6.47221779	6.67209377	0.9382557	0.9231095	0.950578	1.7182398	1.6916661	1.7426564
12	0.9	zero	0.65426517	0.63035032	0.67896374	0.08203691	0.08097245	0.08341385	1.0330231913044	0.935955522470532	0.0556374363499237	0.0406435746060696	0.000786657877877042	0.10508655	0.10352935	0.10716099	0.75342775	0.73187273	0.77222425	0.75197325	0.72738972	0.7764964	0.9478874	0.9368393	0.9599034	1.0332734	1.0223151	1.0464816
13	0	neg	0.67791057	0.66388936	0.69251708	0.69227122	0.68185356	0.70309446	0.986755291	0.936412303	0.057011922	0.00667347	-0.013342404	0.70936886	0.69741313	0.72263826	0.6951887	0.68472177	0.70698168	0.69500319	0.68327643	0.70607365	0.9897183	0.9823247	0.9998743	0.9894477	0.9831596	0.9973983
13	0	pos	2.62787997	2.56221386	2.69464553	0.6871576	0.67482425	0.69779063	1.112184984	0.936412303	0.057011922	0.00667347	0.112087288	0.70295472	0.68776086	0.7134367	2.6582933	2.57839022	2.72735951	2.65464	2.59616842	2.73682954	0.9748542	0.9608411	0.9878883	1.1060872	1.0936843	1.1223881
13	0	zero	0.91155823	0.88769589	0.93699786	0.69209227	0.67807153	0.70329718	1.00025137177401	0.936411015797974	0.0570082453517143	0.00670238570310452	0.000129724921221133	0.71042537	0.6965968	0.7215403	0.92841584	0.90865139	0.95521204	0.92923477	0.90557608	0.94990898	0.9891063	0.9815794	0.9966338	1.0014113	0.9925435	1.0082733
13	0.9	neg	0.05216444	0.05105141	0.05357133	0.07872783	0.07736894	0.08007314	0.952908845	0.936412303	0.057011922	0.040542936	-0.081058316	0.10085222	0.09936219	0.10262099	0.06713404	0.06576582	0.06850842	0.06705975	0.06545299	0.06841885	0.9512499	0.9455037	0.9576671	0.9516752	0.9440066	0.9590741
13	0.9	pos	5.76218054	5.68065063	5.85266462	0.07873343	0.07736704	0.08027518	1.714924402	0.936412303	0.057011922	0.040542936	0.68095724	0.10061016	0.09878632	0.10242353	6.60783769	6.51509355	6.72877533	6.61974592	6.52330751	6.73820614	0.9510604	0.9416032	0.9604586	1.7274496	1.7140812	1.7433736
13	0.9	zero	0.67441728	0.65657443	0.69203423	0.07991622	0.07855909	0.08106832	1.03468361681428	0.936400381797448	0.0569712512782247	0.0405275711126041	0.000784412626004381	0.10196817	0.10032223	0.10353829	0.77870104	0.75644634	0.79812674	0.77672494	0.75635236	0.79609929	0.9472823	0.9388396	0.9580599	1.0325821	1.0246126	1.0411849
14	0	neg	0.70901337	0.69369326	0.72372671	0.71882683	0.70284292	0.73522298	0.988691137	0.936840092	0.058073679	0.006226866	-0.012449499	0.73514963	0.71370223	0.75187178	0.72390011	0.70735536	0.74134465	0.72276379	0.70256376	0.73954739	0.9864858	0.9687716	1.0015431	0.9852361	0.9698611	0.9973941
14	0	pos	2.46124112	2.39157489	2.5213248	0.73501033	0.72815898	0.74047932	1.105726776	0.936840092	0.058073679	0.006226866	0.10458614	0.75055729	0.74410286	0.75683549	2.48146875	2.41036439	2.54901825	2.48615663	2.40964357	2.54359683	0.9955904	0.9901191	1.0016575	1.1139616	1.1050363	1.1233201
14	0	zero	0.91170498	0.89773523	0.92337048	0.71398332	0.69493257	0.73214987	1.00128501256176	0.936838883145133	0.0580708243364153	0.00625425376902099	0.00012105131119318	0.72868723	0.71013053	0.74518443	0.9278659	0.91468859	0.94112169	0.92833359	0.91668032	0.93977528	0.9808013	0.9668692	0.9962814	0.9909217	0.9796129	1.0033493
14	0.9	neg	0.05417174	0.05331728	0.05509737	0.07809904	0.07688309	0.07949202	0.954733507	0.936840092	0.058073679	0.040207592	-0.080387856	0.09962324	0.09789657	0.10140892	0.06922886	0.06829935	0.07033312	0.06923013	0.06810608	0.07058557	0.9558374	0.9460268	0.9678428	0.9558515	0.9470214	0.968629
14	0.9	pos	5.85958623	5.75841788	5.96720806	0.07829274	0.0764319	0.0798577	1.710446181	0.936840092	0.058073679	0.040207592	0.675324818	0.09978466	0.09766704	0.10206683	6.70151757	6.58393154	6.82463131	6.70237842	6.58509772	6.84286907	0.9494772	0.936385	0.9606494	1.7217934	1.7024324	1.742236
