t	P	cov	va.term4	va.term1	va.term2	va.term3	exp.vg	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
5	0.6	pos	0.371163952	0.932399761	0.036739844	0.022098416	1.362401974	1.69631098	2.785932	4.725807041	0.385468258	0.947041189	4.71159491986509	0.234872952502539
5	0.9	neg	-0.064527303	0.932399761	0.036739844	0.03227462	0.936886922	1.175796851	0.05359657	0.063018678	0.202526843	0.936864985	0.0626952540528308	0.159058315261391
5	0.9	pos	0.542082984	0.932399761	0.036739844	0.03227462	1.543497209	1.921698056	2.558914	4.917460058	0.194965759	0.936864985	4.93635543219912	0.153470705782906
6	0	neg	-0.021461101	0.932964232	0.040718256	0.010734198	0.962955585	1.202156185	0.3211843	0.386113693	0.7531126	0.96294829	0.382255208338314	0.46869172163573
6	0	pos	0.180291088	0.932964232	0.040718256	0.010734198	1.164707774	1.450368542	2.477993	3.594003095	0.752608	0.96294829	3.61499367798962	0.477138329205342
6	0.3	neg	-0.029971249	0.932964232	0.040718256	0.014990719	0.958701957	1.200968075	0.2103994	0.252682962	0.585010833	0.958691769	0.253597245646054	0.352121995399235
6	0.3	pos	0.251783407	0.932964232	0.040718256	0.014990719	1.240456613	1.534325668	2.774098	4.256369766	0.579804577	0.958691769	4.30660490568602	0.353567377010955
6	0.6	neg	-0.044597711	0.932964232	0.040718256	0.022306436	0.951391213	1.19693149	0.1115189	0.133480483	0.401596199	0.951376052	0.133232991873722	0.228998977254521
6	0.6	pos	0.374657844	0.932964232	0.040718256	0.022306436	1.370646768	1.713260808	2.815804	4.824206635	0.394584624	0.951376052	4.86451956914228	0.226600602511161
6	0.9	neg	-0.069669059	0.932964232	0.040718256	0.034846372	0.9388598	1.168700406	0.04892357	0.057176996	0.199273092	0.938836116	0.0574179907810971	0.132384323896057
6	0.9	pos	0.585278013	0.932964232	0.040718256	0.034846372	1.593806873	1.990437783	2.596102	5.167379508	0.187851921	0.938836116	5.20656248301624	0.128913710395454
7	0	neg	-0.020121061	0.933509475	0.044210917	0.010063951	0.967663281	1.208878788	0.355792	0.430109402	0.7496809	0.967656441	0.429519773908576	0.497196650098489
7	0	pos	0.169033638	0.933509475	0.044210917	0.010063951	1.15681798	1.44460064	2.409505	3.480772465	0.7491748	0.967656441	3.48192190753331	0.502640535115537
7	0.3	neg	-0.028573739	0.933509475	0.044210917	0.014291727	0.963438379	1.208078201	0.231544	0.279723259	0.656508732	0.963428665	0.278383398420572	0.361324675259282
7	0.3	pos	0.240043163	0.933509475	0.044210917	0.014291727	1.232055281	1.537543128	2.801109	4.306825893	0.659165101	0.963428665	4.36268816463805	0.368264234696178
7	0.6	neg	-0.044218872	0.933509475	0.044210917	0.022116952	0.955618472	1.199081704	0.1176272	0.141044623	0.382357309	0.95560344	0.141137571140654	0.220222104184916
7	0.6	pos	0.37147528	0.933509475	0.044210917	0.022116952	1.371312624	1.712511462	2.893352	4.954898464	0.402443333	0.95560344	4.93977142450828	0.214592136880816
7	0.9	neg	-0.073687114	0.933509475	0.044210917	0.036856082	0.94088936	1.180575833	0.04598083	0.054283857	0.168477455	0.94086431	0.0535880900818121	0.112814257081891
7	0.9	pos	0.619033013	0.933509475	0.044210917	0.036856082	1.633609487	2.034652931	2.586118	5.26185257	0.165460814	0.94086431	5.31973386045765	0.111085202730573
8	0	neg	-0.018820532	0.934036144	0.047257828	0.009413465	0.971886906	1.213380458	0.3945707	0.478764377	0.7939075	0.971880507	0.482851869849334	0.538064448763447
