t	P	cov	vg_zeros	vg_123	vg_zeros_noa	vg_zeros_gcta	var.pheno	vg_HEreg_new	vg_zero_adj	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	var.pheno.j
4	0	zero	0.456039289	0.95205638	0.706456093906998	0.5714973	1.2572743279642	0.718528883790855	0.456039289413779	0.931822435084341	0.0322892015150815	0.012020139597114	0.000232650242969511	0.976364426439506	1.22285516382386
4	0.3	zero	0.3545803	0.948214853	0.640385194969552	0.5223111	1.26001216577506	0.658118340319354	0.354580299954911	0.931817654333606	0.0322505757529614	0.015821801707496	0.000306231552614259	0.980196263346678	1.21104661926483
4	0.6	zero	0.269350424	0.942704448	0.615103084172542	0.4946388	1.21311374926563	0.600053129200252	0.269350423920213	0.931814657069031	0.0322264772743823	0.0213119692407679	0.000412493946677111	0.985765597530858	1.23026633534498
4	0.9	zero	0.196792277	0.934984925	0.596200280958023	0.4738335	1.28484856834002	0.608804294106541	0.196792277206994	0.931812061201049	0.0322052454538841	0.0290604903605227	0.000562466857274434	0.99364026387273	1.24656241668893
5	0	zero	0.454733063	0.957742803	0.726523710187585	0.589998	1.21438527019808	0.716484880646327	0.45473306295753	0.932407729359383	0.0367985078504403	0.0114358985936044	0.000221342236908424	0.980863478040336	1.21916910382833
5	0.3	zero	0.349431785	0.953593409	0.667219193605533	0.5364538	1.14580206001395	0.614669869142311	0.34943178526881	0.932403754462037	0.0367689370367806	0.0155516511795572	0.000301002779233091	0.985025345457608	1.23134544706427
5	0.6	zero	0.244414306	0.947041189	0.624843461025024	0.4973234	1.15831353651929	0.576056426247798	0.24441430617759	0.932398948821653	0.0367335199653114	0.0220702132417664	0.000427169787139465	0.99162985181587	1.24384606689815
5	0.9	zero	0.157288214	0.936864985	0.567486593859832	0.4515688	1.19977618708264	0.541781493069483	0.157288213549854	0.932394309962318	0.0366986762239663	0.0322781988765868	0.000624745723673551	1.00199593078654	1.24623157221487
6	0	zero	0.476282603	0.96294829	0.759285037352245	0.6123504	1.16134445479066	0.711149741428842	0.476282603312724	0.932968373293285	0.0407460183117443	0.0107442227273397	0.000207954825136497	0.984666569157506	1.22907003347791
6	0.3	zero	0.349487792	0.958691769	0.647594519642515	0.5213818	1.2009599531354	0.626158662093651	0.349487792431213	0.932969169252019	0.0407509029696139	0.0149904127095884	0.000290139988052744	0.989000624919274	1.23086209231401
6	0.6	zero	0.225433062	0.951376052	0.645863861124335	0.5146975	1.23211937249458	0.634168760724529	0.225433061949534	0.932964263134978	0.0407180241175871	0.0223104318274916	0.000431819226680764	0.996424538306737	1.24420586914998
6	0.9	zero	0.131229159	0.938836116	0.639533729120653	0.5030528	1.24729987012646	0.627457692106752	0.131229159395642	0.932956227756616	0.0406630270158477	0.0348135807056683	0.0006738181320088	1.00910665361014	1.26193550399889
7	0	zero	0.497615136	0.967656441	0.755015009731945	0.6130842	1.24807229464045	0.765173404301805	0.497615136095336	0.933513138957217	0.0442331613730761	0.0100826583106905	0.000195150221576786	0.98802410886256	1.22305127468625
7	0.3	zero	0.364777497	0.963428665	0.734124092236364	0.5867905	1.2345150086929	0.724401679208411	0.364777496500947	0.933510388855016	0.0442159416453272	0.0142874823046231	0.000276534744271291	0.992290347549238	1.24238047474715
7	0.6	zero	0.221525172	0.95560344	0.661766009203376	0.5238288	1.23861264495899	0.648820975473694	0.221525171902253	0.933507706689317	0.04419949050377	0.0220991489714161	0.000427729839248603	1.00023407600375	1.2542007128725
7	0.9	zero	0.114959809	0.94086431	0.608658208430588	0.4769148	1.23480394736534	0.588896277596952	0.114959808801356	0.933498212002273	0.044140292967826	0.0368828946121196	0.000713869778599634	1.01523526936082	1.2687646306518
8	0	zero	0.532015755	0.971880507	0.798833063711574	0.6422245	1.24385566801218	0.798834584461288	0.532015754934188	0.934037791744625	0.0472668064358942	0.00942452699117976	0.000182412065738164	0.990911537237437	1.23617094686529
8	0.3	zero	0.385496693	0.967767891	0.745876748248125	0.5935623	1.23086375515879	0.730594321498688	0.385496692838302	0.934038008508987	0.0472675037899969	0.0135259768355781	0.00026179577797522	0.995093284912537	1.24809678288304
8	0.6	zero	0.222507327	0.959650221	0.643408001806565	0.5102977	1.23506453585375	0.630250591997736	0.222507327106737	0.934035472926999	0.0472531386475191	0.0216219554566036	0.000418493741259255	1.00332906077238	1.25190681891197
8	0.9	zero	0.101249642	0.942920477	0.659384004479486	0.5154368	1.2639941064574	0.651509077451262	0.101249642213568	0.934022669344733	0.0471811701578982	0.0384384292725155	0.000743977209030433	1.02038624598418	1.27318353321816
9	0	zero	0.561297532	0.975646523	0.83809783103609	0.6735016	1.2393590376188	0.834710294810722	0.561297531815866	0.934546777416053	0.0499052861626394	0.00882636636736933	0.00017083464491539	0.993449264590977	1.23872359872266
9	0.3	zero	0.400561198	0.97170046	0.752207062466976	0.6042477	1.24303920209287	0.751103578874452	0.400561197572504	0.934546089380469	0.0499012606181147	0.0127583534325543	0.000246938398842498	0.997452641829981	1.23753383845153
9	0.6	zero	0.226592298	0.963467738	0.690613537874987	0.5445362	1.23324116824255	0.671544459438359	0.226592298306889	0.934544617830976	0.0498934410616752	0.0209883307550958	0.000406229911911327	1.00583261955966	1.26125710850523
9	0.9	zero	0.095423391	0.944979892	0.629637942009073	0.4887194	1.26246299789401	0.616990158852962	0.0954233913626016	0.934529025179928	0.0498147738830695	0.0395587736712794	0.000765661515978458	1.02466823425026	1.2829593743609
10	0	zero	0.596828332	0.978985269	0.862907785431802	0.6901442	1.29038965770625	0.890554938005954	0.59682833183377	0.935038875970672	0.0521710910258017	0.00824165642052598	0.000159517562438872	0.995611140979439	1.24652082790963
